type,input,output,A,B,C,D,E
nurse,경피적관상동맥중재술을 받은 환자의 운동 교육 후 추가 교육이 필요한 환자의 반응은?,Choice 5,“운동하기 전 니트로글리세린을 준비해야겠어요.”,“숨이 차지 않는 편안한 강도의 운동부터 시작해야겠어요.”,“근력강화운동이나 긴장을 초래하는 운동은 피해야겠어요.”,“맥박이 분당 120회를 넘으면 운동을 중단해야겠어요.”,“퇴원 후 2개월까지는 안정하며 야외활동을 제한해야겠어요.”
pharm,"69세 여자가 면역억제요법을 받은 지 3일째에 소변량 감소와 전신 부종 증상이 나타났고, 검사결과 약물유발 급성신손상으로 진단되었다. 원인 약물은?[투여약물] 시클로스포린(cyclosporine) 400 mg 1일 2회 아자티오프린(azathioprine) 150 mg 1일 1회 프레드니솔론(prednisolone) 5 mg 1일 1회 인슐린 데글루덱/인슐린 아스파트(insulin degludec/insulin aspart) 70/30 10 IU 1일 1회 클로르헥시딘(chlorhexidine) 가글 1일 4회",Choice 1,시클로스포린,아자티오프린,프레드니솔론,클로르헥시딘,인슐린 데글루덱/인슐린 아스파트 70/30
pharm,이산화탄소 초임계유체에 대한 설명으로 옳은 것은?,Choice 3,액체유기용매보다 점성이 높다.,임계온도 미만에서 초임계유체가 형성된다.,압력을 조절하여 선택적으로 화합물을 추출할 수 있다.,기체 이산화탄소와 고체 이산화탄소의 특성을 동시에 지닌다.,"제제화 후, 남은 이산화탄소는 실온에서 쉽게 제거되지 않는다."
nurse,간호사의 행위 중 환자안전 관리의 위험요소는?,Choice 2,요추천자 시행 전 동의서를 확인한다.,혈액 확인 및 수혈을 단독으로 준비한다.,마약 약제를 이중 잠금장치가 된 철제 금고에 관리한다.,사용한 주사침을 뚜껑을 씌우지 않고 손상성 폐기물통에 버린다.,약물 투약 전에 환자명과 등록번호 등 두가지 이상의 정보로 환자를 확인한다.
pharm,"익위생진(益胃生津), 강역하기(降逆下氣) 의 효능이 있어 만성기관지염, 만성인후염 등의 치료에 사용하는 것은?",Choice 2,오령산(五苓散),맥문동탕(麥門冬湯),소시호탕(小柴胡湯),당귀작약산(當歸芍藥散),삼황사심탕(三黃瀉心湯)
nurse,최근에 초등학교에 입학한 자녀가 아침마다 배가 아파서 학교에 가지 않겠다고 울며 떼쓴다고 부모가 걱정하고 있다. 학교에 가지 않고 집에 있으면 아동의 복통은 사라진다고 하며 간호사에게 어떻게 하면 좋을지 질문하고 있다. 간호사의 대답으로 옳은 것은?,Choice 3,다른 학교로 전학시키는 방법을 알려준다.,집에서 하루 종일 부모와 같이 있게 한다.,매일 학교에 보내 학교생활을 지속하도록 한다.,학교에 보내지 말고 집에서 혼자 공부하도록 한다.,일주일간 학교에 보내지 않고 아동의 증상을 관찰한다.
doctor,진료비 지불방법 중 환례(case) 수를 줄이려는 유인이 가장 강력한 것은?,Choice 2,봉급제,인두제,포괄수가제,총액예산제,행위별수가제
pharmacy,트라코마(trachoma)와 성병림프육아종(lymphogranuloma venereum)의 원인체에 관한 설명으로 옳은 것은?,Choice 2,그람양성 세균이다.,숙주세포 내에서 증식한다.,곤충을 매개로 하여 전파된다.,망상소체(reticulate body) 형태로 감염을 일으킨다.,감염 치료제로 그리세오풀빈(griseofulvin)을 사용한다.
doctor,"45세 산과력 3-0-0-3인 여자가 6개월 전부터 월경량이 많고 월경통이 심하며 소변을 자주 본다고 병원에 왔다. 골반진찰에서 자궁은 임신 20주 크기였고 난소는 만져지지 않았다. 골반초음파검사에서 자궁후벽이 전벽에 비하여 비대칭적으로 두꺼워져 있었으나 고음영이나 저음영 덩이는 관찰되지 않았다. 혈액검사 결과는 다음과 같았다. 처치는?혈색소 6.5 g/dL, 적혈구용적률 23%, 백혈구 8,700/mm^3 혈소판 300,000/mm^3 ",Choice 5,경과관찰,에스트로겐,생식샘자극호르몬,구리자궁내장치,자궁절제술
dentist,간이구강위생지수(simplified oral hygiene index)를 검사하기 위한 검사대상치아는 모두 몇 개 인가?,Choice 2,3개,6개,9개,12개,18개
nurse,심부전 환자에게 질산염(nitrate) 투여 후 나타날 수 있는 사정결과는?,Choice 2,체온 상승,혈압 감소,맥박수 감소,호흡수 감소,소변량 증가
nurse,진행된 골관절염 환자의 신체사정결과는?,Choice 3,척골 편위,지속되는 고열,활동 시 악화되는 통증,백조목(swan neck) 기형,대칭적으로 나타나는 증상
doctor,"5세 소아가 1개월 전부터 간헐적으로 양쪽 다리가 아파서 병원에 왔다. 심하게 뛰어논 날 밤에는 더 아파하며 잠에서 깨기도 하였다. 아프다는 부위를 주물러 주면 편안해하고, 다음 날 아침에 통증은 소실되고 잘 놀았다. 엉덩관절과 무릎 부위의 부종이나 홍반은 없다. 진단은?",Choice 1,성장통,일과성윤활막염,소아특발관절염,무릎뼈 재발탈구,오스굿- 슐라터병
pharm,다음 특성을 지닌 골격근이완 약물은?• 중추신경계에 작용함• G 단백질 연결 수용체에 작용함• GABA 유사구조이며 경구투여 할 수 있음,Choice 1,바클로펜(baclofen),티자니딘(tizanidine),디아제팜(diazepam),단트롤렌(dantrolene),투보쿠라린(tubocurarine)
pharm,Ras 단백질이 세포막에 고정되도록 하는 번역 후 변형(posttranslational modification) 은?,Choice 3,acetylation,carboxylation,farnesylation,phosphorylation,ubiquitination
nurse,영국의 간호지도자인 펜위크(Fenwick) 의 업적으로 옳은 것은?,Choice 3,여성의 참정권을 주장하였다.,국제적십자사 창설에 기여하였다.,국제간호협의회(ICN) 의 창설을 주도하였다.,성토마스병원에 간호교육과정을 설치하였다.,“간호에 관한 일들(Notes on Nursing) ”을 발간하였다.
dentist,출생 이후 하악골의 성장발육에 관한 설명으로 옳은 것은?,Choice 4,출생 시 하악과두 관절와의 융기는 잘 발육되어 있다.,하악지의 상부는 외측 골첨가와 내측 골흡수를 보인다.,하악 정중결합부의 연골은 출생 후 1개월 이내에 골로 대체된다.,생후 1년간 하악골 전체에 걸쳐서 성장이 일어나 전 표면에 골이 침착된다.,하악과두는 앞에서 보면 피질판 외측의 골표면은 골이 첨가 되고 내측은 흡수된다.
nurse,35세 미혼 여자가 월경간출혈(intermenstrual bleeding) 이 있어 초음파검사를 한 결과 여러 개의 자궁내막폴립이 확인되었을 때 우선적인 중재는?,Choice 2,원추절제술,자궁소파술,전자궁절제술,자궁동맥색전술,메트로니다졸 투여
pharm,방향족 1급 아민을 함유하는 설파메티졸(sulfamethizole) 을 염산 산성 용액에서 정량할 때 사용하는 표준액은?,Choice 4,0.1 mol/L I2,0.05 mol/L KIO3,0.1 mol/L KMnO4,0.1 mol/L Na NO2,0.1 mol/L Na 2S2O3
pharm,마그네슘 알루미늄 실리케이트로서 약 10% 농도에서 틱소트로피 겔을 형성하는 것은?,Choice 1,비검(Veegum),카올린(kaolin),폴록사머(poloxamer),잔탄검(xanthan gum),벤토나이트(bentonite)
nurse,심장판막대치술을 앞둔 환자가 인공판막의 장단점에 대해 물어볼 때 답변으로 옳은 것은?,Choice 5,“조직판막은 내구성이 높습니다.”,“조직판막은 재수술이 필요 없습니다.”,“금속판막은 임신예정자에게 적합합니다.”,“조직판막은 석회화가 잘 생기지 않습니다.”,“금속판막은 항응고제를 평생 복용해야 합니다.”
nurse,환자가 아무도 없는 방에서 허공을 향해 “안 돼! 당신이 하는 말에 동의할 수 없어.”라고 중얼거린다. 이 증상은?,Choice 1,환각,망상,음송증,보속증,반향언어
nurse,유치도뇨관을 삽입한 환자에 대한 간호중재로 옳은 것은?,Choice 3,수분섭취를 제한한다.,수면 시 도뇨관 고정 반창고를 제거한다.,소변수집주머니를 방광보다 아래에 둔다.,보행 시 도뇨관과 소변수집주머니를 분리한다.,무균소변검사물을 소변수집주머니에서 채취한다.
nurse,인공판막대치술을 받고 와파린 복용을 시작하는 환자에 대한 교육내용은?,Choice 3,1회용 면도기를 사용한다.,투여 즉시 효과가 나타난다.,주기적으로 혈액응고검사를 한다.,비타민 K가 풍부한 음식을 섭취한다.,대변 색깔이 붉어지는 것은 정상이다.
pharm,OATP1B1 수송체 발현 유전자 SLCO1B1의 521T>C 유전변이가 있는 환자에서 심바스타틴의 부작용 발현율이 높은 것으로 알려져 있다. 그 이유로 옳은 것은?,Choice 2,뇌세포로의 수송능력 증가로 분포용적 증가,간세포로의 수송능력 저하로 혈중농도 증가,간세포로의 수송능력 증가로 독성대사체 증가,장관세포에서의 배출능력 저하로 혈중농도 증가,신세뇨관세포에서의 배출능력 저하로 재흡수 증가
doctor,"10세 남아가 키가 작아서 병원에 왔다. 키는 123 cm (3백분위수 미만) 이었고, 몸무게는 25 kg
(5백분위수) 이었다. 환자 아버지의 키는 163 cm (3백분위수) 이었고, 어머니의 키는 153 cm
(5백분위수) 이었다. 지난 1년간 키는 5 cm 자랐다. 뼈나이는 10세이었다. 진단은?",Choice 1,가족성저신장,체질성장지연,생식샘발생장애,성장호르몬결핍증,뇌하수체형성저하증
doctor,국민건강보험공단에서는 건강검진 결과 당뇨병으로 진단되었지만 당뇨병으로 진료를 받은 기록이 없는 사람들을 대상으로 전화와 우편으로 당뇨병 진료를 독려하는 사업을 하고 있다. 이 사업으로 충족하려는 요인은?,Choice 4,수요,공급,인지된 필요,의학적 필요,의사유인 수요
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. A 약국의 2022년 12월 31일 재무제표에 기재된 일부 항목의 정보는 다음과 같다.• 유동자산: 80,000천 원• 재고자산: 50,000천 원• 유동부채: 20,000천 원• 비유동부채: 30,000천 원• 매출원가: 120,000천 원• 2022년 1월 1일 재고자산: 30,000천 원. 2022년도 A약국 재무제표 분석으로 계산되는 재고자산회전율은?",Choice 4,1.6회,2회,2.4회,3회,4회
nurse,혈액투석을 위해 왼쪽 팔에 동정맥루 수술을 받은 환자에 대한 중재는?,Choice 3,수술 부위에 압박드레싱을 한다.,왼쪽 팔을 움직이지 않도록 한다.,동정맥루를 촉진하여 떨림을 확인한다.,양쪽 팔에서 혈압을 측정해서 비교한다.,수술 직후 왼쪽 팔의 위치를 가슴 높이보다 낮게 유지한다.
pharm,사람 세포에서 지방산 생합성에 필요한 아세틸기가 미토콘드리아에서 세포질로 운반되는 형태는?,Choice 1,citrate,malate,phosphoenolpyruvate,propionyl- CoA,succinyl- CoA
dentist,완전탈구된 영구치에 대한 설명으로 옳은 것은?,Choice 4,미완성근첨인 경우 치수생활력 유지가 불가능하다.,완성근첨인 경우 치수생활력 유지가 치료의 목적이다.,염증 반응을 최소화하기 위하여 재식 당일 근관치료를 시작한다.,탈구치아의 재식 및 고정 시 치아의 생리적 동요를 허용하여야 한다.,구외건조시간이 90분 이상이라도 미완성근첨인 경우 치주인대 세포의 생활력이 유지될 가능성이 높다.
dentist,"45세 남자가 코골이와 과도한 낮시간 졸림 증상으로 내원하였다. 환자의 체질량지수(BMI)는 28이고, 수면 검사 결과가 다음과 같을 때 진단은?
무호흡-저호흡지수(AHI): 4
혈중 산소포화도: 96%
호흡노력관련각성(RERAs): 증가",Choice 2,원발성 코골이,상기도저항증후군,중추성 수면무호흡,폐쇄성 수면무호흡,비만성 저환기증후군
nurse,양극성장애의 조증 삽화로 입원한 환자에게 리튬을 투약할 때 간호중재로 옳은 것은?,Choice 4,긴소매 옷을 입게 한다.,수분을 최대한 제한한다.,티라민 함유 음식 섭취를 제한한다.,독성반응이 나타나면 약물을 중단한다.,혈중 약물 치료농도를 0.5 mEq/L  이하로 유지한다.
doctor,"35세 산과력 2-0-1-2인 여자가 열이 나고 아랫배가 아파서 병원에 왔다. 혈압 130/70 mmHg, 맥박 95회/분, 호흡 22회/분, 체온 38.3℃이다. 골반검사에서 화농성 질분비물이 보이고 자궁목 운동성 통증이 있다. 골반초음파검사에서 직장자궁오목에 소량의 액체저류가 있다. 혈액검사 결과는 다음과 같다. 치료는?혈색소 12.1 g/dL, 백혈구 21,000/mm^3, 혈소판 220,000/mm^3 C-반응단백질 95.7 mg/L (참고치, <10) ",Choice 3,세프트리악손＋겐타마이신,클린다마이신＋겐타마이신,세프트리악손＋독시사이클린,벤자틴페니실린＋클린다마이신,벤자틴페니실린＋독시사이클린
doctor,"24세 남자가 2개월 전부터 소변을 자주 봐 병원에 왔다. 자는 동안에도 2~3회 소변을 보기 위해 깼고, 입이 말라 물을 하루 4 L 마셨다고 하였다. 잔뇨감이나 배뇨통은 없었다. 아버지가 당뇨병으로 치료받고 있었다. 키 170 cm, 체중 64 kg, 혈압 110/80 mmHg, 체온 36.9℃였다. 혀와 입안 점막은 말라 있었다. 공복 혈액검사는 다음과 같았다. 검사는?포도당 96 mg/dL,  당화혈색소 5.6% Na +/K+/Cl- 145/4.2/108 meq/L  ",Choice 2,소변 나트륨,소변 오스몰농도,혈장 오스몰농도,혈장 항이뇨호르몬,75 g- 경구포도당부하검사
